coach_id,race,position_played,coaching_position,years_experience,team_performance_rating,rooney_rule_interview,promoted_to_head,promotion_year,tenure_years
68,Black,RB,Assistant Coach,19,0.41,0,0,,4
69,Black,DB,Coordinator,1,0.65,1,0,,3
70,Black,RB,Coordinator,4,0.54,0,0,,4
71,Black,LB,Assistant Coach,19,0.42,1,0,,4
72,White,DL,Head Coach,19,0.38,0,1,2008.0,9
73,Latino,LB,Assistant Coach,15,0.82,1,0,,3
74,Black,DL,Assistant Coach,20,0.58,1,0,,1
75,Latino,OL,Position Coach,4,0.47,1,0,,3
76,Black,None,Coordinator,18,0.74,0,0,,3
77,Black,WR,Coordinator,15,0.64,0,0,,1
78,Black,QB,Assistant Coach,17,0.48,1,0,,3
79,Black,DB,Position Coach,11,0.82,0,0,,5
80,Black,RB,Assistant Coach,3,0.43,0,0,,3
81,Other,Special Teams,Position Coach,17,0.35,1,0,,3
82,White,None,Assistant Coach,1,0.34,0,0,,5
83,White,DL,Assistant Coach,1,0.81,0,0,,2
84,Black,DB,Assistant Coach,2,0.35,1,0,,3
85,Black,WR,Position Coach,13,0.87,1,0,,5
86,Black,LB,Position Coach,8,0.37,0,0,,4
87,White,RB,Position Coach,13,0.7,0,0,,4
88,White,WR,Head Coach,14,0.39,0,1,2019.0,3
89,Black,DB,Assistant Coach,7,0.44,0,0,,5
90,Black,WR,Head Coach,19,0.69,1,1,2016.0,9
91,White,OL,Position Coach,20,0.68,0,0,,2
92,Black,OL,Assistant Coach,15,0.63,0,0,,5
93,Latino,Special Teams,Position Coach,12,0.6,1,0,,2
94,White,None,Assistant Coach,15,0.36,0,0,,1
95,Black,RB,Position Coach,6,0.84,0,0,,1
96,Black,None,Assistant Coach,11,0.8,1,0,,1
97,White,OL,Position Coach,15,0.87,0,0,,3
98,Latino,Special Teams,Coordinator,5,0.37,1,0,,5
99,Black,None,Coordinator,10,0.38,1,0,,3
100,White,QB,Head Coach,17,0.71,0,1,2014.0,10
101,Black,DL,Coordinator,19,0.69,1,0,,5
102,Black,DB,Assistant Coach,3,0.57,1,0,,3
103,Black,DB,Assistant Coach,13,0.55,0,0,,2
104,Black,None,Position Coach,11,0.74,0,0,,4
105,White,RB,Head Coach,8,0.69,0,1,2019.0,5
106,White,LB,Assistant Coach,8,0.58,0,0,,1
107,White,WR,Head Coach,17,0.37,0,1,2017.0,3
108,Black,DL,Position Coach,14,0.45,0,0,,2
109,Black,OL,Position Coach,10,0.32,0,0,,1
110,Latino,OL,Assistant Coach,11,0.83,1,0,,2
111,White,OL,Coordinator,16,0.76,0,0,,4
112,Other,LB,Assistant Coach,10,0.76,0,0,,2
113,Black,DB,Assistant Coach,1,0.74,1,0,,1
114,Black,DL,Assistant Coach,7,0.83,0,0,,3
115,White,DB,Assistant Coach,8,0.42,0,0,,3
116,Black,WR,Assistant Coach,9,0.86,0,0,,5
117,White,DB,Position Coach,4,0.87,0,0,,1
118,Black,Special Teams,Position Coach,11,0.88,1,0,,1
119,Black,DB,Position Coach,10,0.49,1,0,,5
120,White,Special Teams,Coordinator,11,0.46,0,0,,1
121,Latino,LB,Position Coach,15,0.34,0,0,,2
122,Black,DL,Assistant Coach,11,0.33,1,0,,3
123,White,DL,Position Coach,5,0.67,0,0,,2
124,Black,WR,Position Coach,6,0.57,1,0,,3
125,White,QB,Head Coach,13,0.62,0,1,2005.0,5
126,White,None,Head Coach,16,0.54,0,1,2003.0,5
127,Other,None,Coordinator,5,0.56,0,0,,2
128,Other,OL,Coordinator,2,0.72,1,0,,2
129,Latino,Special Teams,Assistant Coach,10,0.59,0,0,,1
130,Black,QB,Coordinator,20,0.64,0,0,,4
131,Black,OL,Assistant Coach,10,0.78,1,0,,2
132,Black,RB,Coordinator,8,0.78,1,0,,3
133,Black,WR,Assistant Coach,13,0.37,1,0,,3
134,Latino,QB,Assistant Coach,7,0.52,1,0,,5
135,Black,WR,Assistant Coach,7,0.65,1,0,,2
136,Other,OL,Assistant Coach,18,0.69,1,0,,2
137,White,OL,Coordinator,10,0.8,0,0,,1
138,Black,QB,Assistant Coach,2,0.71,1,0,,4
139,White,Special Teams,Head Coach,3,0.5,0,1,2017.0,7
140,Black,DB,Coordinator,7,0.81,1,0,,4
141,White,OL,Coordinator,18,0.42,0,0,,5
142,Black,WR,Coordinator,14,0.42,1,0,,4
143,Black,WR,Assistant Coach,1,0.55,0,0,,5
144,White,Special Teams,Head Coach,4,0.39,0,1,2018.0,4
145,Black,DL,Coordinator,13,0.32,1,0,,1
146,Black,None,Position Coach,6,0.33,0,0,,5
147,Black,WR,Coordinator,15,0.41,1,0,,3
148,White,None,Head Coach,13,0.55,0,1,2012.0,3
149,White,DL,Assistant Coach,16,0.79,0,0,,1
150,Black,LB,Coordinator,16,0.75,1,0,,5
151,Black,DB,Coordinator,10,0.73,1,0,,1
152,Black,LB,Assistant Coach,17,0.66,1,0,,1
153,Black,DL,Position Coach,17,0.61,0,0,,4
154,Other,Special Teams,Position Coach,8,0.41,1,0,,1
155,Black,DB,Assistant Coach,17,0.32,1,0,,1
156,Black,LB,Assistant Coach,3,0.37,0,0,,5
157,Latino,QB,Assistant Coach,3,0.59,0,0,,4
158,Black,WR,Coordinator,20,0.37,0,0,,1
159,Other,DB,Coordinator,19,0.72,0,0,,3
160,Black,DL,Coordinator,16,0.82,1,0,,3
161,Latino,None,Coordinator,4,0.68,1,0,,3
162,Black,Special Teams,Coordinator,14,0.67,0,0,,3
163,White,OL,Head Coach,17,0.31,0,1,2007.0,8
164,Black,QB,Position Coach,1,0.56,0,0,,5
165,Black,QB,Head Coach,18,0.56,0,1,2015.0,5
166,Black,DB,Assistant Coach,13,0.77,0,0,,3
167,White,Special Teams,Assistant Coach,18,0.86,0,0,,1
168,Other,QB,Position Coach,6,0.63,0,0,,1
169,White,OL,Assistant Coach,17,0.51,0,0,,4
170,Black,WR,Position Coach,2,0.59,1,0,,4
171,Black,LB,Position Coach,11,0.66,1,0,,4
172,Black,LB,Coordinator,20,0.36,0,0,,5
173,Black,WR,Position Coach,15,0.64,1,0,,1
174,Black,RB,Assistant Coach,4,0.87,1,0,,2
175,White,LB,Coordinator,16,0.3,0,0,,4
176,White,None,Assistant Coach,1,0.31,0,0,,4
177,Latino,None,Coordinator,1,0.43,0,0,,2
178,White,LB,Position Coach,17,0.6,0,0,,3
179,Black,WR,Coordinator,15,0.46,1,0,,1
180,Black,WR,Assistant Coach,11,0.68,1,0,,4
181,Black,DB,Assistant Coach,15,0.74,1,0,,1
182,Black,DL,Coordinator,16,0.85,1,0,,2
183,White,QB,Head Coach,16,0.35,0,1,2019.0,4
184,White,WR,Coordinator,13,0.77,0,0,,3
185,White,QB,Coordinator,14,0.47,0,0,,2
186,Black,LB,Coordinator,7,0.46,1,0,,5
187,White,Special Teams,Coordinator,2,0.68,0,0,,3
188,White,LB,Position Coach,8,0.57,0,0,,4
189,Black,RB,Position Coach,11,0.66,1,0,,5
190,Black,Special Teams,Coordinator,1,0.76,1,0,,2
191,Black,LB,Position Coach,16,0.61,0,0,,4
192,White,DB,Coordinator,13,0.8,0,0,,3
193,Black,DL,Assistant Coach,4,0.85,1,0,,2
194,Black,DL,Assistant Coach,20,0.82,0,0,,5
195,Black,QB,Position Coach,7,0.44,1,0,,5
196,Black,WR,Assistant Coach,3,0.51,0,0,,5
197,White,QB,Coordinator,16,0.75,0,0,,1
198,Black,None,Assistant Coach,15,0.7,1,0,,4
199,Black,DB,Head Coach,17,0.74,0,1,2019.0,6
200,White,RB,Position Coach,1,0.51,0,0,,3
201,White,WR,Position Coach,10,0.68,0,0,,3
202,Black,None,Position Coach,11,0.45,1,0,,3
203,Black,Special Teams,Coordinator,9,0.55,1,0,,3
204,White,Special Teams,Head Coach,10,0.4,0,1,2010.0,9
205,Black,LB,Assistant Coach,2,0.31,0,0,,1
206,Black,DB,Position Coach,17,0.42,1,0,,1
207,White,QB,Coordinator,1,0.31,0,0,,1
208,White,WR,Coordinator,11,0.71,0,0,,4
209,White,LB,Assistant Coach,1,0.58,0,0,,1
210,Black,WR,Position Coach,9,0.62,0,0,,3
211,White,WR,Coordinator,14,0.53,0,0,,2
212,Latino,RB,Head Coach,6,0.53,0,1,2013.0,9
213,White,OL,Head Coach,17,0.34,0,1,2003.0,7
214,Black,LB,Coordinator,20,0.9,0,0,,5
215,Black,WR,Position Coach,14,0.52,1,0,,4
216,Black,OL,Coordinator,11,0.86,1,0,,2
217,White,QB,Head Coach,2,0.76,0,1,2019.0,7
218,White,None,Position Coach,5,0.61,0,0,,2
219,White,WR,Assistant Coach,19,0.67,0,0,,5
220,Black,None,Coordinator,6,0.75,0,0,,3
221,Black,OL,Position Coach,5,0.62,0,0,,4
222,Black,LB,Coordinator,8,0.66,0,0,,4
223,White,QB,Position Coach,2,0.38,0,0,,3
224,White,RB,Position Coach,17,0.46,0,0,,1
225,Black,LB,Coordinator,1,0.62,0,0,,5
226,White,OL,Head Coach,10,0.7,0,1,2008.0,8
227,Black,DB,Position Coach,20,0.76,0,0,,1
228,Black,QB,Assistant Coach,6,0.55,0,0,,5
229,White,RB,Position Coach,14,0.83,0,0,,5
230,Black,LB,Position Coach,2,0.75,0,0,,5
231,Black,OL,Head Coach,10,0.3,1,1,2016.0,9
232,Black,WR,Coordinator,19,0.54,1,0,,4
233,White,WR,Position Coach,6,0.31,0,0,,2
234,White,OL,Head Coach,15,0.61,0,1,2015.0,7
235,White,DL,Assistant Coach,10,0.53,0,0,,4
236,Other,WR,Head Coach,2,0.72,1,1,2014.0,5
237,White,DB,Coordinator,14,0.52,0,0,,4
238,Black,DL,Coordinator,12,0.6,0,0,,2
239,White,None,Head Coach,11,0.87,0,1,2010.0,4
240,White,DB,Position Coach,18,0.37,0,0,,3
241,Black,DL,Coordinator,9,0.69,0,0,,2
242,White,QB,Coordinator,4,0.55,0,0,,4
243,Black,RB,Head Coach,17,0.8,1,1,2006.0,10
244,White,QB,Coordinator,11,0.57,0,0,,4
245,Latino,WR,Position Coach,13,0.39,0,0,,2
246,Latino,Special Teams,Coordinator,20,0.32,1,0,,1
247,White,OL,Coordinator,16,0.71,0,0,,3
248,Black,Special Teams,Coordinator,9,0.9,1,0,,2
249,White,DB,Head Coach,8,0.86,0,1,2016.0,4
250,Black,OL,Coordinator,12,0.79,0,0,,5
251,Black,RB,Position Coach,7,0.43,1,0,,4
252,Black,Special Teams,Position Coach,20,0.56,0,0,,5
253,White,Special Teams,Head Coach,8,0.42,0,1,2005.0,8
254,Black,DB,Assistant Coach,4,0.7,1,0,,5
255,Black,OL,Coordinator,18,0.51,0,0,,2
256,White,DL,Position Coach,10,0.6,0,0,,3
257,Black,DB,Assistant Coach,1,0.58,1,0,,1
258,White,DL,Position Coach,9,0.41,0,0,,1
259,White,WR,Assistant Coach,15,0.42,0,0,,5
260,Other,None,Position Coach,18,0.58,0,0,,4
261,Black,WR,Coordinator,3,0.78,1,0,,4
262,Black,Special Teams,Assistant Coach,13,0.87,1,0,,3
263,White,LB,Coordinator,8,0.52,0,0,,3
264,Black,LB,Assistant Coach,3,0.43,1,0,,2
265,Latino,LB,Coordinator,8,0.52,0,0,,3
266,Latino,QB,Coordinator,5,0.41,0,0,,1
267,Black,DL,Position Coach,20,0.45,1,0,,5
268,White,RB,Head Coach,20,0.53,0,1,2003.0,7
269,Black,QB,Assistant Coach,15,0.42,1,0,,2
270,Latino,DB,Position Coach,8,0.42,1,0,,3
271,White,DL,Assistant Coach,16,0.67,0,0,,2
272,Black,DB,Assistant Coach,18,0.54,0,0,,5
273,White,DL,Coordinator,17,0.61,0,0,,4
274,White,OL,Position Coach,12,0.6,0,0,,4
275,Black,None,Assistant Coach,15,0.4,1,0,,2
276,Black,QB,Assistant Coach,14,0.85,1,0,,3
277,Black,QB,Coordinator,8,0.42,1,0,,3
278,White,QB,Position Coach,8,0.86,0,0,,2
279,Black,WR,Position Coach,8,0.77,1,0,,3
280,Black,DL,Coordinator,2,0.7,0,0,,4
281,White,LB,Coordinator,6,0.48,0,0,,5
282,White,OL,Position Coach,17,0.47,0,0,,2
283,Black,QB,Assistant Coach,4,0.67,0,0,,2
284,Black,Special Teams,Coordinator,1,0.35,0,0,,1
285,Latino,Special Teams,Position Coach,4,0.42,1,0,,4
286,Black,DB,Position Coach,13,0.57,0,0,,2
287,Black,LB,Position Coach,9,0.75,0,0,,2
288,Black,Special Teams,Assistant Coach,3,0.75,1,0,,3
289,Black,DL,Position Coach,15,0.54,0,0,,4
290,White,OL,Head Coach,16,0.71,0,1,2008.0,6
291,Black,RB,Position Coach,3,0.51,1,0,,1
292,White,DL,Head Coach,1,0.37,0,1,2016.0,6
293,Black,OL,Coordinator,14,0.68,0,0,,2
294,Black,QB,Coordinator,16,0.43,1,0,,3
295,Latino,WR,Position Coach,8,0.69,0,0,,2
296,White,OL,Assistant Coach,8,0.8,0,0,,5
297,White,DL,Head Coach,5,0.37,0,1,2015.0,4
298,White,DL,Assistant Coach,16,0.77,0,0,,4
299,White,DB,Position Coach,13,0.64,0,0,,5
300,Black,None,Coordinator,15,0.39,1,0,,1
