coach_id,race,start_year,player_to_coach_transition,position_played,coaching_position,years_experience,team_performance_rating,promoted_to_head,promotion_year,tenure_years,rooney_rule_interview,interview_year,policy_window
83,Black,2017,1,LB,Offensive Coordinator,6,0.58,0,,6,1,,
84,White,2017,1,RB,Offensive Coordinator,4,0.56,0,,4,0,,
85,White,2012,1,Special Teams,Position Coach,11,0.55,0,,11,0,,
86,Black,2007,1,DL,Position Coach,4,0.67,0,,4,0,,
87,White,2013,1,WR,Position Coach,10,0.38,0,,10,0,,
88,Black,2005,1,OL,Head Coach,5,0.62,1,2008.0,5,0,,
89,Black,2007,1,WR,Position Coach,12,0.53,0,,12,0,,
90,Black,2016,1,RB,Position Coach,7,0.39,0,,7,0,,
91,White,2013,1,QB,Position Coach,10,0.64,0,,10,0,,
92,Black,2017,1,RB,Special Teams,6,0.66,0,,6,1,,
93,Black,2004,1,QB,Position Coach,15,0.61,0,,15,1,,
94,White,2015,1,OL,Position Coach,8,0.43,0,,8,0,,
95,Black,2007,1,DL,Defensive Coordinator,12,0.56,0,,12,0,,
96,Black,2006,1,LB,Special Teams,12,0.42,0,,12,0,,
97,Black,2004,1,LB,Special Teams,17,0.49,0,,17,0,,
98,White,2004,1,RB,Head Coach,15,0.45,1,2011.0,15,0,,
99,Black,2008,1,RB,Position Coach,8,0.46,0,,8,0,,
100,White,2005,1,DL,Head Coach,10,0.42,1,2013.0,10,0,,
101,Black,2013,1,QB,Head Coach,6,0.63,1,2017.0,6,1,2017.0,2011–2020
102,White,2010,1,LB,Position Coach,13,0.4,0,,13,0,,
103,Black,2021,1,LB,Offensive Coordinator,2,0.7,0,,2,0,,
104,Black,2006,1,OL,Position Coach,15,0.66,0,,15,0,,
105,Black,2012,1,WR,Offensive Coordinator,11,0.91,0,,11,1,,
106,Black,2007,1,OL,Head Coach,14,0.46,1,2020.0,14,1,2020.0,2011–2020
107,Black,2005,1,LB,Offensive Coordinator,3,0.53,0,,3,1,,
108,Black,2005,1,DB,Offensive Coordinator,7,0.57,0,,7,0,,
109,Black,2015,1,OL,Defensive Coordinator,8,0.24,0,,8,0,,
110,Black,2017,1,WR,Defensive Coordinator,3,0.4,0,,3,0,,
111,Black,2010,1,DL,Position Coach,10,0.57,0,,10,0,,
112,Black,2017,1,DL,Offensive Coordinator,6,0.64,0,,6,1,,
113,White,2008,1,LB,Defensive Coordinator,3,0.5,0,,3,0,,
114,White,2007,1,RB,Defensive Coordinator,12,0.49,0,,12,0,,
115,Black,2006,1,WR,Position Coach,15,0.48,0,,15,0,,
116,White,2004,1,OL,Position Coach,6,0.61,0,,6,0,,
117,Black,2013,1,RB,Position Coach,10,0.3,0,,10,1,,
118,Latino,2010,1,QB,Defensive Coordinator,3,0.46,0,,3,1,,
119,White,2006,1,Special Teams,Defensive Coordinator,7,0.59,0,,7,0,,
120,White,2021,1,Special Teams,Head Coach,2,0.38,1,,2,0,,
121,Black,2016,0,None,Defensive Coordinator,7,0.56,0,,7,0,,
122,Black,2011,1,WR,Defensive Coordinator,11,0.71,0,,11,1,,
123,Black,2022,1,Special Teams,Special Teams,1,0.68,0,,1,0,,
124,Black,2021,1,WR,Position Coach,2,0.54,0,,2,0,,
125,White,2013,1,WR,Head Coach,10,0.72,1,2016.0,10,0,,
126,Black,2010,1,RB,Position Coach,13,0.58,0,,13,0,,
127,Black,2021,1,QB,Special Teams,2,0.44,0,,2,1,,
128,Black,2004,1,OL,Offensive Coordinator,19,0.57,0,,19,0,,
129,Black,2009,1,RB,Position Coach,5,0.38,0,,5,0,,
130,Black,2020,1,DL,Position Coach,3,0.81,0,,3,0,,
131,Black,2010,1,DL,Defensive Coordinator,13,0.81,0,,13,1,,
132,Other,2016,0,None,Head Coach,7,0.62,1,2023.0,7,0,,
133,Black,2020,1,DL,Defensive Coordinator,3,0.6,0,,3,1,,
134,Latino,2007,1,RB,Position Coach,13,0.68,0,,13,0,,
135,Black,2007,1,OL,Offensive Coordinator,7,0.29,0,,7,1,,
136,White,2019,1,DL,Head Coach,4,0.47,1,2022.0,4,0,,
137,White,2019,1,RB,Offensive Coordinator,4,0.35,0,,4,0,,
138,Black,2013,0,None,Offensive Coordinator,10,0.66,0,,10,0,,
139,Black,2013,1,Special Teams,Position Coach,8,0.31,0,,8,0,,
140,White,2014,1,WR,Position Coach,9,0.63,0,,9,0,,
141,Black,2010,1,DL,Offensive Coordinator,4,0.27,0,,4,0,,
142,Black,2013,1,QB,Offensive Coordinator,3,0.36,0,,3,0,,
143,Black,2010,1,RB,Defensive Coordinator,13,0.64,0,,13,0,,
144,White,2007,1,RB,Offensive Coordinator,3,0.29,0,,3,0,,
145,Black,2022,1,DB,Head Coach,1,0.61,1,,1,0,,
146,Black,2010,1,OL,Defensive Coordinator,13,0.39,0,,13,0,,
147,Black,2005,1,QB,Position Coach,5,0.5,0,,5,1,,
148,Other,2019,1,DL,Offensive Coordinator,4,0.45,0,,4,0,,
149,Other,2021,1,DL,Defensive Coordinator,2,0.68,0,,2,1,,
150,Latino,2014,1,DL,Position Coach,9,0.76,0,,9,1,,
151,Black,2018,0,None,Offensive Coordinator,5,0.26,0,,5,0,,
152,White,2021,1,WR,Special Teams,2,0.51,0,,2,0,,
153,White,2022,1,OL,Offensive Coordinator,1,0.75,0,,1,0,,
154,Black,2014,1,QB,Offensive Coordinator,9,0.74,0,,9,0,,
155,White,2014,1,RB,Offensive Coordinator,9,0.45,0,,9,0,,
156,White,2018,1,DL,Position Coach,5,0.71,0,,5,0,,
157,Black,2012,1,QB,Defensive Coordinator,4,0.66,0,,4,1,,
158,Other,2022,1,OL,Special Teams,1,0.56,0,,1,1,,
159,White,2017,1,QB,Position Coach,6,0.81,0,,6,0,,
160,Black,2015,1,RB,Defensive Coordinator,8,0.58,0,,8,1,,
161,White,2018,1,Special Teams,Position Coach,3,0.51,0,,3,0,,
162,Black,2007,1,QB,Special Teams,7,0.42,0,,7,1,,
163,Latino,2013,0,None,Defensive Coordinator,10,0.53,0,,10,1,,
164,Black,2021,1,WR,Position Coach,2,0.45,0,,2,0,,
165,Black,2005,1,DB,Offensive Coordinator,8,0.56,0,,8,0,,
166,Black,2012,1,LB,Offensive Coordinator,5,0.33,0,,5,0,,
167,White,2008,1,WR,Offensive Coordinator,15,0.78,0,,15,0,,
168,Black,2011,1,RB,Special Teams,5,0.82,0,,5,0,,
169,White,2012,1,RB,Head Coach,11,0.29,1,2016.0,11,0,,
170,Black,2007,1,OL,Position Coach,16,0.36,0,,16,0,,
171,White,2007,1,DB,Special Teams,15,0.93,0,,15,0,,
172,White,2010,1,OL,Defensive Coordinator,4,0.47,0,,4,0,,
173,White,2021,1,DL,Defensive Coordinator,2,0.61,0,,2,0,,
174,White,2023,1,WR,Offensive Coordinator,0,0.66,0,,0,0,,
175,Black,2007,0,None,Special Teams,13,0.47,0,,13,1,,
176,Black,2004,1,LB,Position Coach,16,0.65,0,,16,0,,
177,Black,2019,1,DL,Position Coach,4,0.65,0,,4,1,,
178,Black,2009,1,OL,Defensive Coordinator,12,0.87,0,,12,0,,
179,Black,2007,1,WR,Defensive Coordinator,6,0.66,0,,6,0,,
180,Black,2020,0,None,Head Coach,3,0.7,1,2023.0,3,1,2023.0,2021–2023
181,Black,2014,1,QB,Defensive Coordinator,9,0.72,0,,9,0,,
182,Black,2004,1,OL,Head Coach,16,0.48,1,2009.0,16,0,,
183,Black,2013,1,LB,Position Coach,4,0.61,0,,4,1,,
184,Other,2021,0,None,Special Teams,2,0.59,0,,2,1,,
185,Black,2005,1,DL,Position Coach,18,0.54,0,,18,1,,
186,Black,2019,1,LB,Defensive Coordinator,4,0.72,0,,4,1,,
187,White,2014,1,WR,Special Teams,5,0.34,0,,5,0,,
188,White,2018,1,LB,Position Coach,4,0.64,0,,4,0,,
189,Black,2010,0,None,Defensive Coordinator,13,0.73,0,,13,1,,
190,Latino,2013,1,RB,Head Coach,10,0.66,1,2023.0,10,0,,
191,Black,2022,1,OL,Position Coach,1,0.58,0,,1,0,,
192,Black,2003,1,QB,Position Coach,15,0.24,0,,15,0,,
193,White,2016,1,WR,Position Coach,7,0.59,0,,7,0,,
194,White,2008,1,Special Teams,Position Coach,11,0.43,0,,11,0,,
195,Black,2020,1,DB,Defensive Coordinator,3,0.46,0,,3,1,,
196,Black,2022,1,OL,Defensive Coordinator,1,0.71,0,,1,0,,
197,White,2011,1,OL,Defensive Coordinator,12,0.81,0,,12,0,,
198,Black,2021,1,RB,Position Coach,2,0.71,0,,2,1,,
199,White,2021,1,OL,Defensive Coordinator,2,0.56,0,,2,0,,
200,Black,2005,1,RB,Special Teams,17,0.57,0,,17,1,,
201,White,2022,1,RB,Position Coach,1,0.58,0,,1,0,,
202,Black,2023,1,OL,Defensive Coordinator,0,0.71,0,,0,1,,
203,Black,2012,1,OL,Special Teams,11,0.48,0,,11,1,,
204,Black,2012,1,RB,Offensive Coordinator,11,0.64,0,,11,0,,
205,Black,2011,1,DL,Offensive Coordinator,12,0.45,0,,12,1,,
206,Black,2004,1,DL,Position Coach,5,0.59,0,,5,1,,
207,Black,2015,1,WR,Defensive Coordinator,8,0.26,0,,8,0,,
208,White,2011,1,OL,Offensive Coordinator,3,0.45,0,,3,0,,
209,Latino,2022,1,LB,Offensive Coordinator,1,0.73,0,,1,1,,
210,White,2017,1,WR,Position Coach,6,0.54,0,,6,0,,
211,Black,2004,1,OL,Head Coach,11,0.53,1,2007.0,11,1,2007.0,2003–2010
212,Black,2019,1,DL,Position Coach,4,0.39,0,,4,0,,
213,White,2004,1,OL,Offensive Coordinator,9,0.86,0,,9,0,,
214,Black,2015,1,Special Teams,Defensive Coordinator,8,0.53,0,,8,0,,
215,Black,2010,1,DB,Position Coach,8,0.68,0,,8,1,,
216,White,2020,1,DB,Defensive Coordinator,3,0.62,0,,3,0,,
217,White,2010,1,Special Teams,Offensive Coordinator,13,0.68,0,,13,0,,
218,Black,2004,1,RB,Defensive Coordinator,8,0.82,0,,8,1,,
219,White,2023,1,RB,Position Coach,0,0.73,0,,0,0,,
220,Latino,2021,1,Special Teams,Defensive Coordinator,2,0.65,0,,2,0,,
221,White,2003,1,QB,Position Coach,9,0.36,0,,9,0,,
222,White,2003,1,OL,Special Teams,19,0.3,0,,19,0,,
223,Black,2013,1,WR,Offensive Coordinator,5,0.55,0,,5,0,,
224,Other,2004,1,Special Teams,Defensive Coordinator,8,0.79,0,,8,0,,
225,Black,2018,1,RB,Special Teams,5,0.7,0,,5,1,,
226,White,2013,1,DB,Special Teams,10,0.22,0,,10,0,,
227,White,2023,1,RB,Head Coach,0,0.44,1,,0,0,,
228,Black,2018,1,RB,Defensive Coordinator,5,0.51,0,,5,0,,
229,Black,2006,1,RB,Special Teams,4,0.53,0,,4,1,,
230,Black,2015,1,RB,Defensive Coordinator,8,0.53,0,,8,0,,
231,Latino,2022,1,QB,Defensive Coordinator,1,0.62,0,,1,0,,
232,Black,2023,1,LB,Offensive Coordinator,0,0.21,0,,0,0,,
233,Black,2012,1,LB,Offensive Coordinator,10,0.42,0,,10,1,,
234,White,2009,1,DB,Defensive Coordinator,12,0.39,0,,12,0,,
235,Black,2020,1,WR,Defensive Coordinator,3,0.5,0,,3,0,,
236,Black,2017,1,DL,Offensive Coordinator,5,0.62,0,,5,0,,
237,Black,2004,1,DL,Offensive Coordinator,5,0.27,0,,5,1,,
238,Black,2016,1,LB,Offensive Coordinator,6,0.25,0,,6,0,,
239,Black,2010,1,DB,Position Coach,7,0.38,0,,7,0,,
240,Black,2019,1,DL,Position Coach,4,0.44,0,,4,1,,
241,Black,2010,1,OL,Position Coach,5,0.73,0,,5,1,,
242,White,2019,1,LB,Special Teams,4,0.37,0,,4,0,,
243,Black,2014,0,None,Offensive Coordinator,6,0.45,0,,6,0,,
244,Black,2018,1,RB,Offensive Coordinator,5,0.63,0,,5,1,,
245,Latino,2015,1,QB,Defensive Coordinator,8,0.44,0,,8,1,,
246,Black,2020,1,LB,Position Coach,3,0.67,0,,3,1,,
247,White,2004,1,WR,Position Coach,16,0.38,0,,16,0,,
248,Black,2011,1,RB,Position Coach,3,0.32,0,,3,0,,
249,White,2008,1,LB,Offensive Coordinator,5,0.25,0,,5,0,,
250,Black,2019,1,OL,Offensive Coordinator,4,0.73,0,,4,1,,
251,Black,2016,1,WR,Position Coach,7,0.47,0,,7,0,,
252,Black,2005,0,None,Offensive Coordinator,16,0.7,0,,16,1,,
253,Black,2003,1,DL,Position Coach,6,0.59,0,,6,1,,
254,White,2004,1,OL,Offensive Coordinator,10,0.53,0,,10,0,,
255,Black,2015,0,None,Special Teams,8,0.56,0,,8,0,,
256,Black,2008,1,DL,Offensive Coordinator,13,0.25,0,,13,0,,
257,Black,2021,1,OL,Position Coach,2,0.47,0,,2,0,,
258,Black,2021,1,DL,Position Coach,2,0.49,0,,2,0,,
259,Other,2019,1,DL,Position Coach,4,0.62,0,,4,0,,
260,Black,2022,1,RB,Special Teams,1,0.89,0,,1,1,,
261,White,2007,1,WR,Special Teams,4,0.61,0,,4,0,,
262,White,2009,1,WR,Position Coach,7,0.76,0,,7,0,,
263,Black,2023,0,None,Special Teams,0,0.57,0,,0,0,,
264,White,2023,1,DB,Position Coach,0,0.4,0,,0,0,,
265,White,2005,1,DL,Defensive Coordinator,11,0.62,0,,11,0,,
266,Black,2019,1,Special Teams,Defensive Coordinator,4,0.53,0,,4,0,,
267,Black,2020,1,OL,Offensive Coordinator,3,0.66,0,,3,1,,
268,White,2015,1,LB,Offensive Coordinator,7,0.59,0,,7,0,,
269,White,2015,1,QB,Defensive Coordinator,8,0.43,0,,8,0,,
270,Black,2013,1,Special Teams,Defensive Coordinator,10,0.74,0,,10,0,,
271,Black,2007,1,RB,Position Coach,10,0.7,0,,10,1,,
272,Black,2020,1,WR,Offensive Coordinator,3,0.44,0,,3,1,,
273,White,2020,1,LB,Position Coach,3,0.56,0,,3,0,,
274,White,2018,1,WR,Position Coach,4,0.59,0,,4,0,,
275,Latino,2011,1,OL,Special Teams,10,0.64,0,,10,0,,
276,Black,2021,1,QB,Head Coach,2,0.57,1,,2,1,,
277,Black,2009,1,RB,Offensive Coordinator,14,0.36,0,,14,1,,
278,White,2016,1,WR,Position Coach,7,0.64,0,,7,0,,
279,Black,2013,1,WR,Position Coach,10,0.67,0,,10,0,,
280,Black,2014,1,OL,Defensive Coordinator,9,0.64,0,,9,1,,
281,White,2021,1,DL,Defensive Coordinator,2,0.37,0,,2,0,,
282,White,2010,1,LB,Defensive Coordinator,3,0.52,0,,3,0,,
283,Black,2005,1,DL,Position Coach,12,0.66,0,,12,1,,
284,White,2018,1,OL,Offensive Coordinator,5,0.64,0,,5,0,,
285,White,2014,1,QB,Defensive Coordinator,9,0.67,0,,9,0,,
286,White,2008,1,WR,Position Coach,7,0.72,0,,7,0,,
287,White,2012,1,WR,Offensive Coordinator,5,0.49,0,,5,0,,
288,Black,2009,1,OL,Defensive Coordinator,6,0.37,0,,6,0,,
289,Black,2022,1,QB,Special Teams,1,0.79,0,,1,0,,
290,Black,2016,1,LB,Head Coach,7,0.78,1,2023.0,7,1,2023.0,2021–2023
291,Black,2018,1,WR,Position Coach,5,0.42,0,,5,0,,
292,White,2017,1,LB,Position Coach,6,0.53,0,,6,0,,
293,Black,2008,1,OL,Position Coach,6,0.68,0,,6,1,,
294,Black,2022,1,RB,Position Coach,1,0.68,0,,1,0,,
295,White,2015,1,OL,Position Coach,8,0.7,0,,8,0,,
296,White,2007,1,OL,Head Coach,16,0.52,1,2013.0,16,0,,
297,Black,2006,1,Special Teams,Head Coach,9,0.48,1,2009.0,9,0,,
298,Latino,2006,1,QB,Position Coach,14,0.5,0,,14,0,,
299,Black,2016,1,RB,Defensive Coordinator,7,0.77,0,,7,0,,
300,Black,2013,1,WR,Offensive Coordinator,10,0.51,0,,10,0,,
